,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
6983,2020-04-06 01:05:00,5.0,10.0,7.0,10.0,5.0,,11
6811,2020-04-06 01:20:00,10.0,0.0,7.0,6.0,6.0,,11
6939,2020-04-06 01:30:00,10.0,4.0,2.0,6.0,7.0,,11
6892,2020-04-06 01:35:00,2.0,9.0,10.0,10.0,4.0,,11
6800,2020-04-06 02:05:00,9.0,2.0,10.0,2.0,3.0,,11
6946,2020-04-06 02:05:00,6.0,8.0,8.0,4.0,8.0,,11
6763,2020-04-06 02:25:00,10.0,7.0,7.0,9.0,9.0,1.0,11
6795,2020-04-06 02:45:00,6.0,5.0,6.0,10.0,10.0,,11
6851,2020-04-06 02:50:00,0.0,1.0,8.0,0.0,3.0,,11
6753,2020-04-06 02:55:00,10.0,3.0,1.0,5.0,4.0,0.0,11
6775,2020-04-06 03:00:00,3.0,1.0,8.0,3.0,3.0,,11
6938,2020-04-06 04:00:00,5.0,8.0,7.0,5.0,7.0,0.0,11
6941,2020-04-06 05:25:00,10.0,0.0,10.0,2.0,5.0,,11
6886,2020-04-06 06:10:00,10.0,10.0,3.0,7.0,10.0,1.0,11
6824,2020-04-06 07:25:00,10.0,9.0,9.0,1.0,10.0,,11
6969,2020-04-06 08:15:00,9.0,9.0,10.0,10.0,10.0,,11
6838,2020-04-06 09:10:00,5.0,6.0,0.0,0.0,10.0,,11
6789,2020-04-06 11:00:00,3.0,10.0,9.0,5.0,2.0,,11
6777,2020-04-06 13:30:00,7.0,7.0,8.0,4.0,5.0,,11
6810,2020-04-06 13:55:00,3.0,3.0,4.0,9.0,10.0,,11
11331,2020-04-06 14:50:00,-0.0,0.0,-0.0,2.0,-0.0,2.0,11
6961,2020-04-06 15:05:00,2.0,7.0,4.0,7.0,6.0,,11
11330,2020-04-06 15:10:00,1.0,-0.0,-0.0,3.0,1.0,0.0,11
6898,2020-04-06 15:45:00,5.0,8.0,4.0,2.0,8.0,,11
6958,2020-04-06 15:55:00,7.0,10.0,4.0,3.0,3.0,,11
6765,2020-04-06 16:00:00,6.0,10.0,10.0,3.0,1.0,,11
12931,2020-04-06 16:05:00,0.0,0.0,0.0,2.0,1.0,0.0,11
12910,2020-04-06 16:05:00,0.0,1.0,0.0,2.0,1.0,0.0,11
12905,2020-04-06 16:10:00,-0.0,0.0,0.0,3.0,2.0,0.0,11
12911,2020-04-06 16:10:00,0.0,0.0,1.0,2.0,0.0,1.0,11
12932,2020-04-06 16:10:00,0.0,-0.0,1.0,1.0,2.0,0.0,11
12898,2020-04-06 16:10:00,1.0,0.0,2.0,3.0,1.0,1.0,11
12915,2020-04-06 16:10:00,0.0,1.0,1.0,3.0,1.0,0.0,11
12921,2020-04-06 16:10:00,-0.0,1.0,0.0,3.0,2.0,-0.0,11
12899,2020-04-06 16:10:00,-0.0,0.0,0.0,1.0,1.0,0.0,11
12929,2020-04-06 16:15:00,-0.0,-0.0,-0.0,2.0,2.0,0.0,11
12927,2020-04-06 16:15:00,1.0,0.0,1.0,2.0,1.0,0.0,11
12906,2020-04-06 16:20:00,0.0,0.0,0.0,3.0,0.0,-0.0,11
12920,2020-04-06 16:25:00,1.0,0.0,0.0,2.0,1.0,-0.0,11
12938,2020-04-06 16:25:00,-0.0,-0.0,1.0,3.0,1.0,-0.0,11
6870,2020-04-06 16:25:00,2.0,4.0,10.0,8.0,10.0,,11
11332,2020-04-06 16:25:00,0.0,0.0,0.0,3.0,1.0,-0.0,11
11334,2020-04-06 16:25:00,-0.0,0.0,-0.0,1.0,0.0,0.0,11
11335,2020-04-06 16:25:00,-0.0,0.0,-0.0,1.0,2.0,-0.0,11
12934,2020-04-06 16:30:00,-0.0,1.0,1.0,1.0,0.0,1.0,11
11333,2020-04-06 16:30:00,0.0,1.0,0.0,0.0,-0.0,-0.0,11
12925,2020-04-06 16:30:00,1.0,0.0,-0.0,1.0,1.0,0.0,11
12922,2020-04-06 16:40:00,0.0,0.0,-0.0,1.0,1.0,1.0,11
12916,2020-04-06 16:45:00,1.0,-0.0,-0.0,2.0,0.0,1.0,11
12912,2020-04-06 16:45:00,1.0,0.0,0.0,2.0,0.0,1.0,11
12941,2020-04-06 16:45:00,0.0,-0.0,1.0,1.0,0.0,1.0,11
12902,2020-04-06 16:50:00,1.0,0.0,-0.0,1.0,1.0,0.0,11
11339,2020-04-06 16:50:00,0.0,0.0,0.0,2.0,2.0,0.0,11
12914,2020-04-06 16:50:00,-0.0,1.0,0.0,1.0,1.0,0.0,11
12909,2020-04-06 16:55:00,1.0,1.0,1.0,3.0,1.0,-0.0,11
12935,2020-04-06 16:55:00,1.0,0.0,0.0,3.0,2.0,0.0,11
12939,2020-04-06 17:00:00,1.0,1.0,1.0,3.0,0.0,-0.0,11
12924,2020-04-06 17:05:00,0.0,1.0,0.0,2.0,0.0,0.0,11
12918,2020-04-06 17:05:00,0.0,1.0,0.0,2.0,1.0,0.0,11
12908,2020-04-06 17:05:00,1.0,-0.0,-0.0,2.0,1.0,0.0,11
11338,2020-04-06 17:10:00,-0.0,0.0,-0.0,2.0,2.0,0.0,11
12933,2020-04-06 17:10:00,1.0,-0.0,-0.0,2.0,2.0,0.0,11
12907,2020-04-06 17:15:00,1.0,1.0,0.0,2.0,1.0,0.0,11
12913,2020-04-06 17:15:00,0.0,-0.0,0.0,3.0,1.0,0.0,11
12919,2020-04-06 17:20:00,1.0,1.0,0.0,3.0,2.0,0.0,11
12917,2020-04-06 17:25:00,0.0,0.0,0.0,3.0,2.0,0.0,11
12928,2020-04-06 17:45:00,1.0,-0.0,0.0,2.0,0.0,0.0,11
12937,2020-04-06 17:45:00,0.0,0.0,1.0,3.0,2.0,0.0,11
11336,2020-04-06 17:50:00,-0.0,1.0,-0.0,3.0,3.0,0.0,11
11337,2020-04-06 17:55:00,0.0,0.0,1.0,2.0,1.0,1.0,11
6914,2020-04-06 17:55:00,4.0,10.0,5.0,7.0,7.0,0.0,11
12901,2020-04-06 17:55:00,0.0,0.0,1.0,3.0,2.0,1.0,11
12923,2020-04-06 18:00:00,1.0,0.0,1.0,2.0,2.0,1.0,11
6871,2020-04-06 18:00:00,3.0,8.0,3.0,6.0,10.0,,11
12926,2020-04-06 18:05:00,-0.0,0.0,0.0,3.0,-0.0,1.0,11
12936,2020-04-06 18:10:00,-0.0,1.0,1.0,3.0,1.0,0.0,11
12904,2020-04-06 18:10:00,0.0,1.0,-0.0,2.0,2.0,1.0,11
11340,2020-04-06 18:25:00,1.0,1.0,0.0,1.0,0.0,0.0,11
12900,2020-04-06 18:35:00,-0.0,0.0,-0.0,1.0,1.0,0.0,11
12903,2020-04-06 18:45:00,1.0,2.0,0.0,2.0,2.0,-0.0,11
12897,2020-04-06 19:05:00,-0.0,0.0,0.0,1.0,2.0,0.0,11
12940,2020-04-06 19:05:00,0.0,-0.0,1.0,1.0,1.0,-0.0,11
6979,2020-04-06 19:30:00,7.0,6.0,5.0,4.0,0.0,0.0,11
12930,2020-04-06 20:20:00,-0.0,-0.0,0.0,1.0,1.0,-0.0,11
6872,2020-04-06 20:50:00,10.0,5.0,7.0,0.0,10.0,,11
6760,2020-04-06 21:35:00,2.0,10.0,4.0,1.0,5.0,,11
6858,2020-04-06 22:00:00,0.0,9.0,3.0,10.0,5.0,,11
6819,2020-04-06 22:30:00,10.0,6.0,0.0,8.0,5.0,,11
6821,2020-04-06 23:15:00,10.0,10.0,4.0,0.0,10.0,,11
6860,2020-04-06 23:20:00,0.0,4.0,6.0,0.0,10.0,1.0,11
6896,2020-04-07 00:00:00,4.0,10.0,10.0,8.0,9.0,,11
6936,2020-04-07 00:30:00,10.0,9.0,7.0,7.0,5.0,,11
6757,2020-04-07 00:55:00,5.0,10.0,8.0,1.0,2.0,,11
6940,2020-04-07 01:15:00,1.0,4.0,4.0,3.0,4.0,,11
6826,2020-04-07 01:25:00,1.0,0.0,6.0,8.0,4.0,,11
6845,2020-04-07 01:30:00,0.0,8.0,0.0,5.0,3.0,,11
6787,2020-04-07 02:15:00,9.0,3.0,10.0,7.0,1.0,,11
6922,2020-04-07 02:30:00,5.0,3.0,8.0,9.0,4.0,,11
6773,2020-04-07 02:40:00,9.0,6.0,7.0,6.0,7.0,,11
6918,2020-04-07 02:55:00,0.0,5.0,10.0,9.0,10.0,,11
6792,2020-04-07 03:25:00,3.0,1.0,4.0,9.0,4.0,,11
6982,2020-04-07 03:35:00,9.0,0.0,5.0,4.0,3.0,,11
6895,2020-04-07 03:50:00,6.0,5.0,9.0,1.0,8.0,,11
6900,2020-04-07 04:00:00,8.0,10.0,9.0,10.0,10.0,,11
6972,2020-04-07 04:05:00,7.0,6.0,3.0,4.0,0.0,,11
6818,2020-04-07 04:40:00,0.0,1.0,4.0,6.0,9.0,,11
6837,2020-04-07 05:10:00,9.0,4.0,1.0,4.0,4.0,,11
6754,2020-04-07 05:35:00,2.0,1.0,0.0,4.0,2.0,,11
6990,2020-04-07 05:40:00,10.0,0.0,1.0,7.0,6.0,,11
6923,2020-04-07 05:45:00,10.0,8.0,0.0,6.0,3.0,,11
6881,2020-04-07 06:40:00,7.0,10.0,7.0,6.0,1.0,1.0,11
6764,2020-04-07 06:45:00,2.0,10.0,6.0,0.0,1.0,,11
6849,2020-04-07 06:50:00,2.0,10.0,1.0,3.0,10.0,0.0,11
6785,2020-04-07 07:35:00,0.0,10.0,0.0,2.0,3.0,,11
6825,2020-04-07 07:45:00,2.0,8.0,3.0,4.0,2.0,,11
6865,2020-04-07 08:55:00,7.0,1.0,1.0,4.0,1.0,,11
6852,2020-04-07 08:55:00,3.0,10.0,4.0,6.0,0.0,0.0,11
6907,2020-04-07 09:45:00,4.0,8.0,8.0,8.0,2.0,,11
6823,2020-04-07 11:10:00,10.0,10.0,9.0,1.0,2.0,,11
6880,2020-04-07 11:15:00,2.0,10.0,10.0,4.0,7.0,,11
6901,2020-04-07 11:35:00,10.0,10.0,10.0,0.0,10.0,0.0,11
6956,2020-04-07 12:05:00,8.0,4.0,0.0,1.0,5.0,,11
6910,2020-04-07 12:20:00,3.0,10.0,1.0,10.0,8.0,,11
6779,2020-04-07 12:25:00,1.0,10.0,5.0,1.0,3.0,1.0,11
6780,2020-04-07 12:35:00,8.0,6.0,9.0,1.0,5.0,0.0,11
6915,2020-04-07 13:35:00,10.0,2.0,3.0,1.0,7.0,,11
6926,2020-04-07 14:05:00,4.0,8.0,0.0,4.0,5.0,,11
6976,2020-04-07 15:05:00,5.0,9.0,6.0,10.0,8.0,1.0,11
6820,2020-04-07 15:35:00,6.0,7.0,6.0,5.0,8.0,,11
6815,2020-04-07 15:45:00,7.0,8.0,4.0,10.0,4.0,,11
6879,2020-04-07 16:10:00,9.0,2.0,6.0,10.0,9.0,0.0,11
6781,2020-04-07 16:25:00,0.0,7.0,6.0,9.0,1.0,,11
6750,2020-04-07 17:15:00,6.0,3.0,10.0,10.0,1.0,,11
6809,2020-04-07 17:20:00,2.0,9.0,7.0,0.0,9.0,,11
6756,2020-04-07 17:30:00,0.0,5.0,9.0,5.0,0.0,,11
6846,2020-04-07 19:25:00,10.0,7.0,10.0,4.0,5.0,,11
6831,2020-04-07 20:05:00,8.0,4.0,7.0,0.0,1.0,,11
6986,2020-04-07 20:10:00,1.0,2.0,1.0,7.0,4.0,,11
6928,2020-04-07 20:40:00,3.0,10.0,0.0,8.0,7.0,0.0,11
6932,2020-04-07 20:50:00,9.0,6.0,7.0,3.0,4.0,,11
6759,2020-04-07 21:05:00,9.0,1.0,4.0,7.0,5.0,1.0,11
6968,2020-04-07 21:10:00,7.0,0.0,0.0,3.0,0.0,,11
6783,2020-04-07 22:55:00,6.0,0.0,0.0,0.0,1.0,,11
6788,2020-04-07 22:55:00,10.0,9.0,7.0,4.0,2.0,,11
6965,2020-04-07 23:40:00,10.0,7.0,8.0,2.0,9.0,,11
6905,2020-04-08 00:35:00,5.0,2.0,2.0,10.0,4.0,,11
6843,2020-04-08 01:30:00,7.0,7.0,1.0,6.0,5.0,0.0,11
6855,2020-04-08 01:35:00,8.0,8.0,2.0,4.0,3.0,,11
6830,2020-04-08 01:40:00,10.0,10.0,3.0,9.0,0.0,1.0,11
6874,2020-04-08 01:45:00,10.0,10.0,9.0,6.0,10.0,0.0,11
6891,2020-04-08 01:50:00,5.0,8.0,2.0,3.0,10.0,,11
6797,2020-04-08 02:25:00,1.0,6.0,5.0,3.0,10.0,,11
6776,2020-04-08 03:40:00,6.0,9.0,8.0,1.0,9.0,,11
6778,2020-04-08 04:25:00,10.0,1.0,0.0,5.0,4.0,,11
6931,2020-04-08 05:00:00,9.0,10.0,10.0,1.0,1.0,,11
6856,2020-04-08 05:50:00,7.0,6.0,10.0,7.0,3.0,0.0,11
6770,2020-04-08 05:55:00,10.0,10.0,10.0,4.0,9.0,,11
6761,2020-04-08 05:55:00,2.0,10.0,8.0,4.0,1.0,,11
6989,2020-04-08 06:05:00,6.0,5.0,1.0,4.0,10.0,,11
6834,2020-04-08 07:10:00,0.0,3.0,3.0,5.0,8.0,,11
6942,2020-04-08 07:20:00,1.0,1.0,10.0,7.0,7.0,1.0,11
6903,2020-04-08 07:50:00,9.0,0.0,10.0,10.0,10.0,,11
6772,2020-04-08 08:15:00,9.0,8.0,4.0,5.0,3.0,,11
6935,2020-04-08 08:15:00,3.0,1.0,10.0,2.0,6.0,,11
6967,2020-04-08 08:25:00,10.0,1.0,7.0,7.0,0.0,,11
37134,2020-04-08 08:35:00,7.0,9.0,6.0,3.0,5.0,3.0,11
36141,2020-04-08 08:35:00,5.0,10.0,6.0,4.0,5.0,1.0,11
37199,2020-04-08 08:35:00,4.0,9.0,5.0,5.0,5.0,2.0,11
37161,2020-04-08 08:35:00,6.0,9.0,6.0,3.0,5.0,2.0,11
35865,2020-04-08 08:35:00,6.0,9.0,6.0,4.0,5.0,3.0,11
36091,2020-04-08 08:35:00,5.0,10.0,4.0,4.0,5.0,4.0,11
36178,2020-04-08 08:35:00,6.0,9.0,6.0,4.0,5.0,2.0,11
37119,2020-04-08 08:35:00,6.0,8.0,5.0,4.0,4.0,4.0,11
36434,2020-04-08 08:35:00,5.0,9.0,6.0,5.0,4.0,3.0,11
36712,2020-04-08 08:35:00,7.0,10.0,5.0,3.0,4.0,1.0,11
36826,2020-04-08 08:35:00,6.0,9.0,4.0,4.0,5.0,3.0,11
36821,2020-04-08 08:35:00,5.0,8.0,6.0,5.0,4.0,4.0,11
36805,2020-04-08 08:35:00,6.0,9.0,5.0,5.0,5.0,4.0,11
36803,2020-04-08 08:35:00,6.0,8.0,4.0,4.0,5.0,3.0,11
36957,2020-04-08 08:35:00,5.0,9.0,6.0,4.0,4.0,4.0,11
36987,2020-04-08 08:35:00,6.0,9.0,4.0,4.0,5.0,3.0,11
37010,2020-04-08 08:35:00,7.0,10.0,5.0,4.0,4.0,3.0,11
37064,2020-04-08 08:35:00,6.0,10.0,5.0,4.0,6.0,3.0,11
36743,2020-04-08 08:35:00,6.0,9.0,6.0,4.0,5.0,3.0,11
36439,2020-04-08 08:35:00,7.0,9.0,4.0,3.0,4.0,3.0,11
35923,2020-04-08 08:35:00,4.0,9.0,4.0,4.0,4.0,3.0,11
35968,2020-04-08 08:35:00,6.0,9.0,4.0,5.0,4.0,4.0,11
36732,2020-04-08 08:35:00,6.0,10.0,5.0,5.0,5.0,2.0,11
35993,2020-04-08 08:35:00,5.0,8.0,5.0,3.0,6.0,2.0,11
36015,2020-04-08 08:35:00,6.0,10.0,5.0,3.0,5.0,3.0,11
36040,2020-04-08 08:35:00,5.0,8.0,6.0,4.0,6.0,3.0,11
37079,2020-04-08 08:35:00,6.0,10.0,6.0,5.0,3.0,2.0,11
36889,2020-04-08 08:35:00,6.0,9.0,6.0,3.0,6.0,3.0,11
36362,2020-04-08 08:35:00,6.0,9.0,5.0,5.0,6.0,2.0,11
36374,2020-04-08 08:35:00,6.0,9.0,5.0,4.0,4.0,3.0,11
36268,2020-04-08 08:35:00,5.0,9.0,4.0,4.0,4.0,2.0,11
36527,2020-04-08 08:35:00,7.0,10.0,5.0,4.0,5.0,3.0,11
36306,2020-04-08 08:35:00,6.0,10.0,4.0,2.0,7.0,2.0,11
35642,2020-04-08 08:35:00,7.0,9.0,6.0,5.0,6.0,3.0,11
35433,2020-04-08 08:35:00,5.0,10.0,6.0,4.0,5.0,2.0,11
36394,2020-04-08 08:35:00,5.0,8.0,4.0,4.0,5.0,3.0,11
35451,2020-04-08 08:35:00,7.0,8.0,6.0,4.0,4.0,3.0,11
36602,2020-04-08 08:35:00,7.0,9.0,5.0,4.0,6.0,3.0,11
36238,2020-04-08 08:35:00,6.0,8.0,5.0,4.0,4.0,3.0,11
36233,2020-04-08 08:35:00,7.0,10.0,6.0,3.0,6.0,4.0,11
36549,2020-04-08 08:35:00,7.0,9.0,5.0,3.0,5.0,4.0,11
36205,2020-04-08 08:35:00,5.0,10.0,4.0,5.0,4.0,3.0,11
36364,2020-04-08 08:35:00,6.0,10.0,5.0,3.0,5.0,3.0,11
35601,2020-04-08 08:35:00,5.0,9.0,5.0,4.0,5.0,4.0,11
36190,2020-04-08 08:35:00,6.0,9.0,5.0,5.0,5.0,3.0,11
36502,2020-04-08 08:35:00,6.0,8.0,5.0,5.0,5.0,4.0,11
36640,2020-04-08 08:35:00,6.0,10.0,5.0,3.0,6.0,3.0,11
36348,2020-04-08 08:35:00,6.0,9.0,4.0,4.0,5.0,4.0,11
35452,2020-04-08 08:35:00,6.0,8.0,6.0,3.0,6.0,3.0,11
35505,2020-04-08 08:35:00,5.0,9.0,5.0,4.0,5.0,3.0,11
35599,2020-04-08 08:40:00,5.0,9.0,6.0,3.0,4.0,3.0,11
37062,2020-04-08 08:40:00,6.0,8.0,5.0,3.0,4.0,3.0,11
37025,2020-04-08 08:40:00,6.0,9.0,6.0,5.0,5.0,4.0,11
35596,2020-04-08 08:40:00,6.0,9.0,5.0,3.0,5.0,3.0,11
35861,2020-04-08 08:40:00,6.0,10.0,5.0,4.0,4.0,3.0,11
35585,2020-04-08 08:40:00,6.0,8.0,5.0,2.0,5.0,3.0,11
35559,2020-04-08 08:40:00,6.0,9.0,4.0,4.0,4.0,2.0,11
36999,2020-04-08 08:40:00,6.0,8.0,5.0,5.0,5.0,2.0,11
35534,2020-04-08 08:40:00,5.0,10.0,5.0,4.0,5.0,3.0,11
35532,2020-04-08 08:40:00,5.0,9.0,4.0,3.0,6.0,3.0,11
36935,2020-04-08 08:40:00,7.0,8.0,5.0,4.0,6.0,3.0,11
35525,2020-04-08 08:40:00,6.0,9.0,5.0,4.0,5.0,3.0,11
36933,2020-04-08 08:40:00,7.0,8.0,6.0,5.0,4.0,3.0,11
35515,2020-04-08 08:40:00,5.0,8.0,3.0,4.0,7.0,2.0,11
35512,2020-04-08 08:40:00,6.0,9.0,4.0,4.0,5.0,3.0,11
36902,2020-04-08 08:40:00,7.0,8.0,5.0,5.0,4.0,2.0,11
37024,2020-04-08 08:40:00,5.0,9.0,4.0,4.0,6.0,2.0,11
37000,2020-04-08 08:40:00,5.0,9.0,5.0,5.0,6.0,2.0,11
35614,2020-04-08 08:40:00,6.0,8.0,4.0,4.0,4.0,3.0,11
37072,2020-04-08 08:40:00,5.0,10.0,5.0,4.0,6.0,3.0,11
35858,2020-04-08 08:40:00,6.0,10.0,5.0,4.0,5.0,3.0,11
37233,2020-04-08 08:40:00,6.0,9.0,4.0,4.0,6.0,2.0,11
35856,2020-04-08 08:40:00,6.0,10.0,5.0,4.0,4.0,5.0,11
37188,2020-04-08 08:40:00,6.0,9.0,6.0,4.0,4.0,3.0,11
37169,2020-04-08 08:40:00,6.0,9.0,5.0,4.0,5.0,4.0,11
35849,2020-04-08 08:40:00,5.0,9.0,4.0,3.0,4.0,6.0,11
35819,2020-04-08 08:40:00,6.0,8.0,5.0,5.0,5.0,3.0,11
35812,2020-04-08 08:40:00,6.0,9.0,6.0,5.0,6.0,2.0,11
35784,2020-04-08 08:40:00,7.0,9.0,5.0,3.0,6.0,2.0,11
37110,2020-04-08 08:40:00,6.0,9.0,5.0,4.0,4.0,3.0,11
37069,2020-04-08 08:40:00,6.0,8.0,6.0,4.0,4.0,3.0,11
37103,2020-04-08 08:40:00,7.0,8.0,4.0,4.0,6.0,3.0,11
35755,2020-04-08 08:40:00,6.0,8.0,5.0,4.0,4.0,3.0,11
