,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
6463,2020-04-06 01:40:00,1.0,7.0,7.0,,7.0,,10
6548,2020-04-06 02:15:00,8.0,10.0,4.0,,6.0,,10
6626,2020-04-06 02:25:00,5.0,0.0,10.0,,7.0,,10
6598,2020-04-06 02:50:00,0.0,1.0,0.0,,7.0,,10
6559,2020-04-06 03:20:00,0.0,8.0,10.0,,10.0,,10
6558,2020-04-06 04:30:00,9.0,4.0,3.0,,10.0,1.0,10
6645,2020-04-06 05:15:00,2.0,8.0,1.0,,10.0,,10
6677,2020-04-06 06:15:00,3.0,6.0,1.0,,10.0,,10
6737,2020-04-06 06:30:00,4.0,7.0,4.0,,2.0,,10
6712,2020-04-06 06:35:00,4.0,10.0,9.0,,8.0,,10
6644,2020-04-06 06:55:00,9.0,1.0,9.0,,1.0,,10
6742,2020-04-06 07:05:00,3.0,4.0,7.0,,3.0,,10
6716,2020-04-06 07:15:00,6.0,3.0,4.0,,9.0,,10
6467,2020-04-06 07:35:00,7.0,10.0,8.0,,10.0,,10
6610,2020-04-06 07:45:00,10.0,5.0,1.0,,4.0,,10
6525,2020-04-06 07:55:00,7.0,6.0,7.0,,0.0,,10
6496,2020-04-06 08:30:00,2.0,7.0,8.0,,8.0,,10
6546,2020-04-06 08:30:00,1.0,10.0,2.0,,2.0,,10
6510,2020-04-06 08:35:00,0.0,0.0,10.0,,7.0,,10
6459,2020-04-06 08:50:00,0.0,9.0,8.0,,1.0,1.0,10
6595,2020-04-06 09:10:00,5.0,9.0,7.0,,2.0,,10
6554,2020-04-06 10:00:00,1.0,10.0,5.0,,5.0,,10
6624,2020-04-06 10:25:00,4.0,0.0,7.0,,9.0,,10
6710,2020-04-06 10:30:00,3.0,1.0,0.0,,4.0,,10
6575,2020-04-06 10:35:00,5.0,9.0,10.0,,2.0,,10
6680,2020-04-06 10:55:00,7.0,0.0,9.0,,1.0,,10
6540,2020-04-06 11:00:00,6.0,10.0,10.0,,8.0,,10
6520,2020-04-06 11:25:00,3.0,9.0,9.0,,10.0,1.0,10
6568,2020-04-06 11:45:00,10.0,10.0,6.0,,0.0,,10
6662,2020-04-06 12:00:00,7.0,10.0,0.0,,6.0,,10
6597,2020-04-06 12:05:00,5.0,5.0,7.0,,1.0,,10
6722,2020-04-06 12:45:00,8.0,4.0,7.0,,0.0,,10
6574,2020-04-06 13:10:00,3.0,1.0,3.0,,4.0,,10
6732,2020-04-06 13:15:00,6.0,10.0,7.0,,10.0,,10
6578,2020-04-06 14:00:00,7.0,5.0,10.0,,10.0,,10
6551,2020-04-06 14:20:00,4.0,7.0,10.0,,8.0,1.0,10
6611,2020-04-06 14:25:00,0.0,8.0,2.0,,6.0,1.0,10
11325,2020-04-06 14:40:00,-0.0,1.0,2.0,,4.0,-0.0,10
6705,2020-04-06 14:50:00,1.0,10.0,4.0,,0.0,,10
11303,2020-04-06 14:50:00,0.0,-0.0,4.0,,5.0,0.0,10
11315,2020-04-06 14:50:00,0.0,1.0,3.0,,3.0,-0.0,10
11312,2020-04-06 14:55:00,0.0,0.0,3.0,,3.0,1.0,10
11319,2020-04-06 14:55:00,0.0,0.0,4.0,,4.0,0.0,10
11309,2020-04-06 14:55:00,-0.0,1.0,3.0,,4.0,-0.0,10
11311,2020-04-06 15:05:00,1.0,1.0,4.0,,4.0,1.0,10
11318,2020-04-06 15:10:00,0.0,-0.0,4.0,,5.0,-0.0,10
11316,2020-04-06 15:10:00,1.0,1.0,2.0,,4.0,0.0,10
11310,2020-04-06 15:10:00,0.0,1.0,2.0,,3.0,1.0,10
11317,2020-04-06 15:15:00,0.0,-0.0,3.0,,3.0,0.0,10
6539,2020-04-06 15:20:00,4.0,0.0,1.0,,7.0,,10
11313,2020-04-06 15:30:00,0.0,1.0,3.0,,5.0,-0.0,10
6543,2020-04-06 15:40:00,1.0,8.0,6.0,,10.0,,10
11321,2020-04-06 15:40:00,2.0,-0.0,3.0,,5.0,1.0,10
11305,2020-04-06 15:40:00,1.0,0.0,3.0,,4.0,1.0,10
6557,2020-04-06 15:50:00,8.0,4.0,8.0,,5.0,,10
11323,2020-04-06 15:50:00,0.0,0.0,4.0,,3.0,-0.0,10
11327,2020-04-06 16:00:00,-0.0,0.0,2.0,,5.0,0.0,10
12810,2020-04-06 16:00:00,0.0,1.0,4.0,,4.0,0.0,10
12858,2020-04-06 16:00:00,0.0,0.0,3.0,,5.0,0.0,10
12880,2020-04-06 16:00:00,0.0,-0.0,3.0,,5.0,0.0,10
12892,2020-04-06 16:05:00,1.0,0.0,2.0,,4.0,0.0,10
12806,2020-04-06 16:05:00,1.0,-0.0,2.0,,4.0,0.0,10
12805,2020-04-06 16:05:00,0.0,-0.0,1.0,,5.0,-0.0,10
12875,2020-04-06 16:05:00,-0.0,1.0,2.0,,4.0,0.0,10
12868,2020-04-06 16:05:00,1.0,0.0,2.0,,4.0,0.0,10
12793,2020-04-06 16:05:00,-0.0,2.0,3.0,,2.0,0.0,10
12889,2020-04-06 16:05:00,-0.0,-0.0,3.0,,3.0,1.0,10
12837,2020-04-06 16:10:00,0.0,0.0,3.0,,5.0,-0.0,10
11328,2020-04-06 16:10:00,1.0,-0.0,3.0,,4.0,0.0,10
12786,2020-04-06 16:10:00,0.0,0.0,3.0,,4.0,0.0,10
12842,2020-04-06 16:10:00,0.0,-0.0,3.0,,4.0,-0.0,10
6733,2020-04-06 16:10:00,1.0,0.0,5.0,,4.0,,10
6541,2020-04-06 16:10:00,0.0,0.0,4.0,,2.0,,10
12841,2020-04-06 16:10:00,1.0,0.0,2.0,,4.0,-0.0,10
12838,2020-04-06 16:10:00,0.0,-0.0,2.0,,3.0,0.0,10
12871,2020-04-06 16:10:00,-0.0,0.0,2.0,,5.0,-0.0,10
12887,2020-04-06 16:10:00,0.0,0.0,4.0,,4.0,0.0,10
12896,2020-04-06 16:10:00,0.0,0.0,2.0,,4.0,0.0,10
12812,2020-04-06 16:10:00,0.0,0.0,4.0,,4.0,-0.0,10
12869,2020-04-06 16:10:00,1.0,-0.0,3.0,,4.0,0.0,10
12839,2020-04-06 16:15:00,0.0,-0.0,2.0,,4.0,0.0,10
12864,2020-04-06 16:15:00,1.0,1.0,4.0,,5.0,1.0,10
12804,2020-04-06 16:15:00,-0.0,0.0,3.0,,4.0,1.0,10
12816,2020-04-06 16:15:00,-0.0,0.0,3.0,,5.0,1.0,10
11324,2020-04-06 16:15:00,1.0,1.0,4.0,,4.0,1.0,10
12817,2020-04-06 16:20:00,-0.0,-0.0,3.0,,3.0,0.0,10
12854,2020-04-06 16:20:00,0.0,0.0,3.0,,5.0,0.0,10
12866,2020-04-06 16:20:00,0.0,-0.0,4.0,,3.0,1.0,10
12859,2020-04-06 16:20:00,0.0,0.0,3.0,,4.0,1.0,10
12855,2020-04-06 16:20:00,0.0,0.0,2.0,,3.0,1.0,10
12789,2020-04-06 16:20:00,0.0,1.0,3.0,,5.0,0.0,10
12821,2020-04-06 16:20:00,0.0,1.0,2.0,,4.0,1.0,10
12808,2020-04-06 16:20:00,0.0,0.0,3.0,,3.0,-0.0,10
12788,2020-04-06 16:25:00,0.0,0.0,2.0,,5.0,0.0,10
12850,2020-04-06 16:25:00,0.0,-0.0,3.0,,3.0,0.0,10
12834,2020-04-06 16:25:00,-0.0,1.0,4.0,,4.0,-0.0,10
12835,2020-04-06 16:25:00,1.0,0.0,4.0,,4.0,0.0,10
