,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
10105,2020-04-06 00:00:00,9.0,7.0,4.0,,8.0,0.0,18
10056,2020-04-06 00:10:00,2.0,6.0,1.0,,3.0,,18
10375,2020-04-06 00:30:00,2.0,4.0,4.0,,3.0,,18
10338,2020-04-06 01:15:00,1.0,5.0,9.0,,10.0,0.0,18
10141,2020-04-06 01:25:00,4.0,10.0,10.0,,10.0,,18
10188,2020-04-06 01:35:00,2.0,10.0,7.0,,8.0,,18
10215,2020-04-06 01:55:00,10.0,1.0,6.0,,0.0,,18
10271,2020-04-06 02:15:00,10.0,10.0,5.0,,0.0,,18
10335,2020-04-06 03:10:00,0.0,6.0,10.0,,1.0,,18
10094,2020-04-06 03:15:00,7.0,5.0,7.0,,10.0,,18
10101,2020-04-06 03:50:00,8.0,6.0,9.0,,8.0,,18
10080,2020-04-06 04:05:00,3.0,10.0,7.0,,9.0,,18
10083,2020-04-06 04:50:00,1.0,3.0,0.0,,8.0,,18
10366,2020-04-06 05:15:00,10.0,8.0,2.0,,0.0,,18
10344,2020-04-06 05:20:00,5.0,8.0,9.0,,10.0,,18
10178,2020-04-06 05:25:00,10.0,6.0,0.0,,7.0,,18
10172,2020-04-06 05:30:00,5.0,10.0,8.0,,9.0,,18
10212,2020-04-06 05:50:00,0.0,9.0,4.0,,6.0,,18
10113,2020-04-06 05:55:00,5.0,8.0,10.0,,10.0,,18
10251,2020-04-06 06:50:00,9.0,10.0,3.0,,1.0,0.0,18
10123,2020-04-06 07:10:00,10.0,2.0,3.0,,4.0,,18
10275,2020-04-06 08:25:00,3.0,4.0,4.0,,4.0,,18
10310,2020-04-06 08:30:00,1.0,5.0,3.0,,0.0,,18
10197,2020-04-06 08:40:00,8.0,4.0,5.0,,3.0,,18
10022,2020-04-06 08:45:00,5.0,1.0,9.0,,2.0,,18
10411,2020-04-06 08:45:00,9.0,6.0,4.0,,7.0,,18
10167,2020-04-06 08:55:00,10.0,6.0,2.0,,10.0,0.0,18
10227,2020-04-06 09:10:00,10.0,2.0,4.0,,7.0,,18
10049,2020-04-06 09:10:00,7.0,7.0,5.0,,4.0,1.0,18
10331,2020-04-06 09:20:00,5.0,6.0,6.0,,9.0,,18
10204,2020-04-06 09:35:00,10.0,3.0,1.0,,2.0,,18
10395,2020-04-06 09:50:00,6.0,8.0,4.0,,4.0,,18
10246,2020-04-06 09:55:00,2.0,6.0,7.0,,9.0,,18
10127,2020-04-06 10:10:00,6.0,7.0,0.0,,10.0,,18
10024,2020-04-06 10:15:00,6.0,1.0,0.0,,0.0,,18
10311,2020-04-06 10:15:00,6.0,8.0,0.0,,0.0,,18
10013,2020-04-06 10:25:00,7.0,9.0,10.0,,3.0,,18
10047,2020-04-06 10:45:00,1.0,8.0,10.0,,8.0,,18
10020,2020-04-06 11:00:00,8.0,9.0,9.0,,10.0,,18
10156,2020-04-06 11:45:00,4.0,2.0,10.0,,0.0,1.0,18
10425,2020-04-06 12:15:00,6.0,0.0,8.0,,9.0,,18
10213,2020-04-06 12:25:00,2.0,10.0,4.0,,1.0,,18
10373,2020-04-06 13:20:00,4.0,2.0,10.0,,6.0,,18
10243,2020-04-06 13:30:00,8.0,4.0,3.0,,6.0,,18
10412,2020-04-06 13:30:00,5.0,6.0,10.0,8.0,4.0,,18
10345,2020-04-06 13:45:00,5.0,5.0,2.0,,4.0,,18
10288,2020-04-06 13:55:00,3.0,8.0,9.0,,8.0,,18
10206,2020-04-06 14:00:00,8.0,2.0,5.0,,4.0,,18
