,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
2790,2020-04-06 00:05:00,6.0,2.0,0.0,7.0,9.0,,5
2666,2020-04-06 00:10:00,3.0,4.0,3.0,9.0,4.0,,5
2931,2020-04-06 00:40:00,5.0,1.0,7.0,1.0,8.0,,5
2760,2020-04-06 00:40:00,0.0,8.0,4.0,7.0,6.0,,5
2945,2020-04-06 00:50:00,9.0,1.0,2.0,5.0,1.0,,5
2707,2020-04-06 01:35:00,2.0,3.0,5.0,4.0,10.0,,5
2936,2020-04-06 01:50:00,9.0,7.0,0.0,5.0,5.0,,5
2704,2020-04-06 02:50:00,7.0,7.0,5.0,10.0,8.0,,5
2696,2020-04-06 03:00:00,4.0,2.0,2.0,7.0,1.0,,5
2741,2020-04-06 03:25:00,10.0,1.0,2.0,10.0,4.0,,5
2963,2020-04-06 03:40:00,8.0,8.0,2.0,8.0,10.0,,5
2806,2020-04-06 03:45:00,1.0,5.0,4.0,2.0,10.0,,5
2831,2020-04-06 03:45:00,7.0,4.0,1.0,1.0,0.0,1.0,5
2881,2020-04-06 04:15:00,10.0,0.0,8.0,3.0,1.0,,5
2592,2020-04-06 04:15:00,5.0,10.0,10.0,1.0,7.0,,5
2942,2020-04-06 04:15:00,5.0,3.0,3.0,9.0,10.0,,5
2747,2020-04-06 04:45:00,3.0,10.0,10.0,3.0,6.0,,5
2673,2020-04-06 04:50:00,8.0,10.0,10.0,4.0,2.0,,5
3004,2020-04-06 05:05:00,0.0,8.0,0.0,7.0,10.0,0.0,5
3016,2020-04-06 05:15:00,3.0,10.0,10.0,10.0,8.0,1.0,5
2885,2020-04-06 05:30:00,0.0,10.0,10.0,5.0,2.0,0.0,5
2962,2020-04-06 05:40:00,9.0,10.0,5.0,8.0,9.0,0.0,5
2978,2020-04-06 05:45:00,9.0,6.0,3.0,1.0,8.0,,5
2819,2020-04-06 05:55:00,5.0,7.0,3.0,9.0,3.0,,5
3013,2020-04-06 06:25:00,9.0,10.0,2.0,4.0,9.0,0.0,5
2795,2020-04-06 06:30:00,1.0,7.0,3.0,7.0,10.0,,5
2944,2020-04-06 06:30:00,0.0,3.0,3.0,9.0,1.0,,5
2998,2020-04-06 06:55:00,10.0,7.0,0.0,3.0,5.0,,5
2715,2020-04-06 07:00:00,3.0,9.0,7.0,1.0,0.0,1.0,5
2984,2020-04-06 08:15:00,8.0,5.0,6.0,9.0,6.0,,5
2721,2020-04-06 08:30:00,6.0,5.0,10.0,0.0,6.0,,5
2585,2020-04-06 08:45:00,3.0,10.0,10.0,9.0,1.0,,5
2605,2020-04-06 08:50:00,6.0,1.0,0.0,9.0,1.0,,5
2612,2020-04-06 09:00:00,0.0,5.0,6.0,10.0,5.0,,5
2876,2020-04-06 09:05:00,1.0,5.0,10.0,10.0,4.0,1.0,5
2995,2020-04-06 09:10:00,6.0,10.0,8.0,4.0,9.0,,5
2576,2020-04-06 09:50:00,1.0,7.0,10.0,4.0,10.0,,5
2582,2020-04-06 10:15:00,9.0,4.0,10.0,9.0,2.0,,5
2637,2020-04-06 11:00:00,10.0,0.0,1.0,2.0,2.0,,5
2807,2020-04-06 11:30:00,8.0,9.0,10.0,10.0,4.0,,5
2867,2020-04-06 11:35:00,2.0,0.0,3.0,2.0,7.0,,5
2604,2020-04-06 12:10:00,6.0,1.0,4.0,6.0,9.0,,5
2596,2020-04-06 12:15:00,5.0,1.0,10.0,5.0,4.0,,5
2967,2020-04-06 12:20:00,2.0,1.0,6.0,1.0,0.0,,5
2693,2020-04-06 12:50:00,0.0,10.0,10.0,10.0,10.0,,5
2933,2020-04-06 12:55:00,5.0,6.0,10.0,0.0,1.0,,5
2844,2020-04-06 13:20:00,2.0,9.0,2.0,10.0,10.0,,5
2719,2020-04-06 13:20:00,10.0,10.0,6.0,10.0,6.0,,5
2840,2020-04-06 14:05:00,10.0,8.0,7.0,2.0,0.0,,5
2734,2020-04-06 14:25:00,2.0,5.0,6.0,10.0,7.0,,5
2697,2020-04-06 14:35:00,10.0,8.0,9.0,3.0,6.0,,5
11102,2020-04-06 14:40:00,-0.0,2.0,0.0,0.0,1.0,-0.0,5
2755,2020-04-06 14:40:00,1.0,0.0,6.0,5.0,5.0,1.0,5
11100,2020-04-06 14:50:00,-0.0,3.0,0.0,-0.0,1.0,0.0,5
11104,2020-04-06 14:55:00,0.0,1.0,1.0,1.0,2.0,1.0,5
11117,2020-04-06 15:00:00,0.0,2.0,0.0,0.0,2.0,0.0,5
11107,2020-04-06 15:00:00,1.0,1.0,1.0,-0.0,0.0,-0.0,5
2720,2020-04-06 15:05:00,2.0,1.0,2.0,0.0,7.0,,5
2985,2020-04-06 15:15:00,3.0,4.0,8.0,4.0,7.0,,5
11111,2020-04-06 15:20:00,0.0,1.0,0.0,0.0,0.0,1.0,5
11103,2020-04-06 15:30:00,0.0,2.0,0.0,1.0,0.0,0.0,5
2949,2020-04-06 15:35:00,10.0,1.0,0.0,5.0,1.0,,5
11110,2020-04-06 15:40:00,0.0,3.0,-0.0,1.0,1.0,0.0,5
11101,2020-04-06 15:50:00,-0.0,2.0,0.0,1.0,1.0,0.0,5
12012,2020-04-06 16:00:00,0.0,3.0,0.0,-0.0,2.0,0.0,5
2586,2020-04-06 16:00:00,0.0,9.0,1.0,9.0,0.0,,5
11108,2020-04-06 16:00:00,0.0,3.0,-0.0,1.0,0.0,-0.0,5
11966,2020-04-06 16:00:00,1.0,1.0,-0.0,0.0,1.0,-0.0,5
12041,2020-04-06 16:00:00,0.0,3.0,1.0,1.0,0.0,0.0,5
2974,2020-04-06 16:00:00,5.0,7.0,2.0,10.0,0.0,,5
12039,2020-04-06 16:00:00,-0.0,2.0,0.0,-0.0,1.0,0.0,5
11995,2020-04-06 16:00:00,0.0,3.0,1.0,0.0,1.0,0.0,5
12020,2020-04-06 16:00:00,1.0,2.0,0.0,1.0,0.0,1.0,5
11965,2020-04-06 16:00:00,1.0,2.0,0.0,0.0,1.0,1.0,5
11989,2020-04-06 16:05:00,-0.0,1.0,-0.0,2.0,1.0,0.0,5
12016,2020-04-06 16:05:00,0.0,3.0,2.0,1.0,0.0,0.0,5
11983,2020-04-06 16:05:00,1.0,1.0,0.0,0.0,2.0,0.0,5
11116,2020-04-06 16:05:00,1.0,1.0,-0.0,0.0,2.0,0.0,5
11999,2020-04-06 16:05:00,1.0,2.0,1.0,0.0,1.0,0.0,5
12014,2020-04-06 16:05:00,0.0,3.0,0.0,0.0,1.0,1.0,5
12018,2020-04-06 16:10:00,0.0,1.0,1.0,-0.0,0.0,0.0,5
12024,2020-04-06 16:10:00,0.0,2.0,0.0,-0.0,1.0,-0.0,5
12028,2020-04-06 16:10:00,1.0,1.0,0.0,0.0,-0.0,0.0,5
11970,2020-04-06 16:15:00,-0.0,2.0,1.0,1.0,2.0,-0.0,5
12030,2020-04-06 16:15:00,0.0,3.0,0.0,0.0,2.0,0.0,5
12021,2020-04-06 16:15:00,0.0,2.0,0.0,0.0,1.0,1.0,5
12033,2020-04-06 16:15:00,0.0,3.0,-0.0,0.0,1.0,0.0,5
11994,2020-04-06 16:15:00,1.0,2.0,-0.0,1.0,0.0,0.0,5
12011,2020-04-06 16:15:00,0.0,2.0,2.0,0.0,2.0,0.0,5
12045,2020-04-06 16:15:00,-0.0,1.0,0.0,0.0,1.0,0.0,5
2690,2020-04-06 16:20:00,4.0,6.0,5.0,2.0,8.0,,5
12000,2020-04-06 16:20:00,0.0,1.0,0.0,0.0,1.0,1.0,5
12013,2020-04-06 16:20:00,0.0,2.0,0.0,-0.0,2.0,0.0,5
11968,2020-04-06 16:25:00,0.0,2.0,0.0,1.0,1.0,0.0,5
12043,2020-04-06 16:25:00,0.0,1.0,1.0,0.0,0.0,-0.0,5
11967,2020-04-06 16:25:00,-0.0,2.0,0.0,-0.0,1.0,1.0,5
12017,2020-04-06 16:25:00,0.0,3.0,2.0,0.0,1.0,-0.0,5
12026,2020-04-06 16:25:00,-0.0,3.0,1.0,0.0,2.0,0.0,5
12038,2020-04-06 16:25:00,1.0,3.0,0.0,0.0,1.0,-0.0,5
11119,2020-04-06 16:30:00,0.0,3.0,1.0,-0.0,2.0,1.0,5
11974,2020-04-06 16:30:00,1.0,2.0,0.0,0.0,0.0,-0.0,5
11975,2020-04-06 16:30:00,1.0,1.0,-0.0,1.0,1.0,-0.0,5
12040,2020-04-06 16:30:00,0.0,3.0,0.0,-0.0,1.0,1.0,5
11106,2020-04-06 16:35:00,0.0,2.0,0.0,0.0,1.0,-0.0,5
11996,2020-04-06 16:35:00,1.0,2.0,0.0,0.0,-0.0,-0.0,5
11113,2020-04-06 16:40:00,2.0,2.0,0.0,0.0,1.0,0.0,5
12042,2020-04-06 16:40:00,0.0,2.0,0.0,0.0,1.0,0.0,5
11991,2020-04-06 16:45:00,-0.0,1.0,0.0,0.0,1.0,1.0,5
12005,2020-04-06 16:45:00,0.0,1.0,0.0,0.0,1.0,0.0,5
11971,2020-04-06 16:45:00,1.0,2.0,-0.0,0.0,2.0,1.0,5
12037,2020-04-06 16:50:00,1.0,2.0,1.0,1.0,2.0,1.0,5
11969,2020-04-06 16:55:00,1.0,2.0,0.0,-0.0,2.0,-0.0,5
11973,2020-04-06 16:55:00,-0.0,2.0,0.0,0.0,1.0,1.0,5
12006,2020-04-06 16:55:00,0.0,1.0,-0.0,1.0,-0.0,0.0,5
12001,2020-04-06 17:00:00,1.0,1.0,1.0,1.0,2.0,0.0,5
