,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
4306,2020-04-06 05:45:00,,3.0,1.0,,,,7
4297,2020-04-06 07:00:00,,4.0,9.0,,,,7
4303,2020-04-06 09:30:00,,9.0,4.0,,,,7
4299,2020-04-06 13:20:00,,4.0,8.0,,,,7
4300,2020-04-06 14:25:00,,5.0,5.0,,,1.0,7
4304,2020-04-06 16:30:00,,3.0,3.0,,,,7
4298,2020-04-07 10:35:00,,0.0,8.0,,,,7
25836,2020-04-08 08:35:00,,8.0,6.0,,,6.0,7
25905,2020-04-08 08:40:00,,9.0,6.0,,,5.0,7
25842,2020-04-08 08:40:00,,9.0,7.0,,,5.0,7
25921,2020-04-08 08:45:00,,8.0,5.0,,,5.0,7
25861,2020-04-08 08:45:00,,8.0,6.0,,,5.0,7
25939,2020-04-08 08:45:00,,7.0,6.0,,,6.0,7
25912,2020-04-08 08:45:00,,7.0,7.0,,,5.0,7
25876,2020-04-08 08:50:00,,8.0,6.0,,,4.0,7
25874,2020-04-08 08:50:00,,7.0,5.0,,,6.0,7
25857,2020-04-08 08:50:00,,9.0,7.0,,,4.0,7
25887,2020-04-08 08:50:00,,7.0,5.0,,,4.0,7
25900,2020-04-08 08:55:00,,10.0,6.0,,,6.0,7
25848,2020-04-08 08:55:00,,9.0,6.0,,,3.0,7
25909,2020-04-08 08:55:00,,8.0,7.0,,,5.0,7
25883,2020-04-08 09:00:00,,9.0,7.0,,,5.0,7
25938,2020-04-08 09:00:00,,8.0,5.0,,,5.0,7
25830,2020-04-08 09:00:00,,8.0,6.0,,,5.0,7
25917,2020-04-08 09:00:00,,10.0,6.0,,,7.0,7
25885,2020-04-08 09:00:00,,8.0,6.0,,,4.0,7
25929,2020-04-08 09:05:00,,9.0,7.0,,,4.0,7
25802,2020-04-08 09:05:00,,8.0,6.0,,,4.0,7
25815,2020-04-08 09:05:00,,10.0,6.0,,,5.0,7
25913,2020-04-08 09:05:00,,8.0,6.0,,,6.0,7
25818,2020-04-08 09:10:00,,8.0,6.0,,7.0,5.0,7
25819,2020-04-08 09:10:00,,8.0,6.0,,,4.0,7
25868,2020-04-08 09:10:00,,8.0,7.0,,,5.0,7
25866,2020-04-08 09:15:00,,9.0,6.0,,,6.0,7
25817,2020-04-08 09:15:00,,9.0,6.0,,,4.0,7
25820,2020-04-08 09:15:00,,8.0,7.0,,,6.0,7
25925,2020-04-08 09:15:00,,8.0,7.0,,,5.0,7
25933,2020-04-08 09:15:00,,8.0,6.0,,,3.0,7
25937,2020-04-08 09:20:00,,9.0,6.0,,,5.0,7
25926,2020-04-08 09:20:00,,8.0,6.0,,,6.0,7
25898,2020-04-08 09:20:00,7.0,7.0,5.0,,,5.0,7
25839,2020-04-08 09:20:00,,8.0,6.0,,,6.0,7
25807,2020-04-08 09:20:00,,8.0,6.0,,,6.0,7
25916,2020-04-08 09:20:00,,8.0,5.0,,,5.0,7
25893,2020-04-08 09:20:00,,8.0,6.0,,,4.0,7
25816,2020-04-08 09:25:00,,9.0,6.0,,,6.0,7
