,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
529,2020-04-06 00:00:00,2.0,8.0,5.0,,3.0,0.0,2
823,2020-04-06 00:05:00,10.0,10.0,3.0,,10.0,0.0,2
506,2020-04-06 00:10:00,1.0,7.0,1.0,,2.0,,2
448,2020-04-06 00:35:00,1.0,8.0,2.0,,10.0,1.0,2
1276,2020-04-06 00:35:00,8.0,5.0,7.0,,2.0,,2
717,2020-04-06 00:40:00,5.0,4.0,2.0,,3.0,,2
902,2020-04-06 00:40:00,7.0,8.0,1.0,,2.0,1.0,2
1168,2020-04-06 00:45:00,9.0,8.0,2.0,,8.0,,2
420,2020-04-06 00:45:00,10.0,6.0,1.0,,5.0,,2
628,2020-04-06 00:50:00,8.0,10.0,10.0,,0.0,0.0,2
1397,2020-04-06 00:55:00,8.0,4.0,7.0,,6.0,,2
397,2020-04-06 01:05:00,10.0,9.0,3.0,,9.0,1.0,2
421,2020-04-06 01:05:00,3.0,0.0,1.0,,7.0,,2
696,2020-04-06 01:15:00,10.0,2.0,10.0,,8.0,,2
1127,2020-04-06 01:20:00,10.0,3.0,0.0,,3.0,,2
648,2020-04-06 01:40:00,5.0,3.0,6.0,,4.0,,2
1094,2020-04-06 01:45:00,8.0,1.0,6.0,,4.0,1.0,2
1033,2020-04-06 01:45:00,1.0,3.0,2.0,,7.0,,2
410,2020-04-06 01:50:00,6.0,3.0,9.0,,0.0,1.0,2
765,2020-04-06 01:55:00,4.0,1.0,7.0,,4.0,,2
940,2020-04-06 02:05:00,0.0,9.0,5.0,,10.0,,2
954,2020-04-06 02:05:00,3.0,8.0,6.0,,0.0,,2
1305,2020-04-06 02:10:00,6.0,9.0,5.0,,5.0,,2
655,2020-04-06 02:20:00,2.0,4.0,4.0,,2.0,0.0,2
1270,2020-04-06 02:40:00,0.0,3.0,10.0,,1.0,,2
1387,2020-04-06 02:45:00,9.0,2.0,10.0,,7.0,,2
880,2020-04-06 02:45:00,10.0,8.0,8.0,2.0,4.0,,2
948,2020-04-06 02:55:00,10.0,10.0,10.0,,5.0,,2
1455,2020-04-06 03:00:00,0.0,0.0,9.0,,5.0,1.0,2
1389,2020-04-06 03:00:00,6.0,8.0,3.0,,4.0,,2
488,2020-04-06 03:00:00,2.0,2.0,10.0,,2.0,,2
1461,2020-04-06 03:05:00,10.0,2.0,1.0,,4.0,,2
936,2020-04-06 03:10:00,10.0,4.0,5.0,,10.0,,2
548,2020-04-06 03:15:00,6.0,7.0,7.0,,9.0,0.0,2
466,2020-04-06 03:20:00,4.0,9.0,8.0,,7.0,,2
672,2020-04-06 03:25:00,4.0,0.0,1.0,,3.0,,2
596,2020-04-06 03:30:00,3.0,1.0,7.0,,9.0,,2
914,2020-04-06 03:35:00,10.0,0.0,3.0,,9.0,,2
887,2020-04-06 03:40:00,4.0,3.0,6.0,,8.0,1.0,2
876,2020-04-06 03:50:00,9.0,0.0,8.0,,9.0,,2
629,2020-04-06 04:00:00,9.0,10.0,0.0,,10.0,,2
1428,2020-04-06 04:05:00,4.0,2.0,10.0,,8.0,0.0,2
905,2020-04-06 04:15:00,5.0,5.0,9.0,,8.0,,2
494,2020-04-06 04:15:00,3.0,2.0,9.0,,10.0,,2
1350,2020-04-06 04:25:00,10.0,5.0,6.0,,1.0,,2
1438,2020-04-06 04:35:00,10.0,3.0,3.0,,10.0,1.0,2
487,2020-04-06 04:40:00,5.0,7.0,10.0,,1.0,,2
700,2020-04-06 05:00:00,0.0,1.0,0.0,,8.0,,2
1374,2020-04-06 05:00:00,0.0,10.0,10.0,,3.0,,2
404,2020-04-06 05:05:00,10.0,6.0,6.0,,6.0,,2
