,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
4925,2020-04-06 00:00:00,9.0,7.0,5.0,,4.0,,8
5125,2020-04-06 00:05:00,6.0,4.0,9.0,,0.0,,8
5235,2020-04-06 00:05:00,4.0,10.0,0.0,,8.0,,8
4889,2020-04-06 00:05:00,4.0,2.0,7.0,,5.0,,8
5208,2020-04-06 00:05:00,2.0,9.0,1.0,,4.0,,8
4525,2020-04-06 00:05:00,2.0,3.0,3.0,,10.0,0.0,8
5357,2020-04-06 00:15:00,9.0,0.0,3.0,,4.0,,8
5100,2020-04-06 00:15:00,9.0,10.0,9.0,,6.0,,8
4636,2020-04-06 00:15:00,7.0,0.0,10.0,,4.0,,8
4364,2020-04-06 00:15:00,3.0,10.0,9.0,,10.0,,8
4569,2020-04-06 00:25:00,0.0,4.0,9.0,,3.0,,8
4414,2020-04-06 00:25:00,3.0,10.0,2.0,,3.0,,8
5082,2020-04-06 00:45:00,0.0,7.0,6.0,,0.0,,8
4563,2020-04-06 01:10:00,10.0,6.0,7.0,,10.0,,8
4411,2020-04-06 01:15:00,5.0,5.0,0.0,,10.0,,8
4769,2020-04-06 01:15:00,1.0,1.0,10.0,,2.0,,8
4573,2020-04-06 01:15:00,9.0,2.0,0.0,,9.0,,8
5078,2020-04-06 01:15:00,10.0,3.0,7.0,,2.0,,8
5013,2020-04-06 01:45:00,8.0,8.0,10.0,,10.0,,8
5232,2020-04-06 01:50:00,5.0,7.0,8.0,,9.0,,8
5272,2020-04-06 01:50:00,4.0,0.0,8.0,,9.0,,8
4654,2020-04-06 01:50:00,8.0,5.0,6.0,,4.0,1.0,8
5220,2020-04-06 01:55:00,10.0,6.0,0.0,,10.0,,8
4520,2020-04-06 01:55:00,2.0,3.0,1.0,,10.0,,8
4590,2020-04-06 02:10:00,8.0,4.0,6.0,,10.0,,8
4582,2020-04-06 02:10:00,10.0,1.0,10.0,,9.0,,8
5023,2020-04-06 02:15:00,7.0,8.0,10.0,,6.0,,8
4444,2020-04-06 02:30:00,3.0,1.0,5.0,,8.0,,8
4904,2020-04-06 02:35:00,0.0,10.0,5.0,,6.0,,8
4883,2020-04-06 02:35:00,3.0,10.0,1.0,,1.0,1.0,8
4635,2020-04-06 02:35:00,2.0,3.0,6.0,,5.0,,8
5335,2020-04-06 02:35:00,9.0,7.0,0.0,,3.0,,8
5219,2020-04-06 02:40:00,5.0,3.0,6.0,,10.0,,8
4812,2020-04-06 02:50:00,6.0,10.0,10.0,,5.0,1.0,8
4696,2020-04-06 03:00:00,0.0,7.0,5.0,,0.0,,8
4817,2020-04-06 03:05:00,0.0,9.0,4.0,,3.0,,8
5228,2020-04-06 03:15:00,9.0,0.0,9.0,,3.0,,8
4653,2020-04-06 03:15:00,6.0,5.0,6.0,,9.0,,8
4515,2020-04-06 03:20:00,7.0,10.0,2.0,,5.0,,8
4478,2020-04-06 03:40:00,10.0,0.0,8.0,,5.0,,8
4482,2020-04-06 03:40:00,0.0,4.0,9.0,,4.0,1.0,8
4935,2020-04-06 03:45:00,1.0,3.0,0.0,,2.0,,8
4924,2020-04-06 03:50:00,1.0,10.0,4.0,,5.0,,8
5068,2020-04-06 03:55:00,7.0,1.0,9.0,,9.0,,8
4771,2020-04-06 03:55:00,4.0,3.0,3.0,,8.0,,8
4469,2020-04-06 04:00:00,4.0,9.0,9.0,,1.0,,8
4748,2020-04-06 04:00:00,2.0,1.0,0.0,,8.0,,8
5202,2020-04-06 04:05:00,3.0,3.0,2.0,,2.0,,8
4995,2020-04-06 04:05:00,5.0,10.0,10.0,,7.0,,8
4863,2020-04-06 04:10:00,8.0,6.0,6.0,,2.0,,8
5303,2020-04-06 04:10:00,0.0,8.0,2.0,,0.0,,8
4872,2020-04-06 04:10:00,1.0,0.0,0.0,,5.0,,8
4335,2020-04-06 04:10:00,6.0,10.0,10.0,,4.0,,8
5227,2020-04-06 04:15:00,10.0,4.0,8.0,,1.0,,8
5270,2020-04-06 04:15:00,7.0,5.0,5.0,,5.0,,8
4735,2020-04-06 04:25:00,7.0,10.0,10.0,,2.0,,8
5120,2020-04-06 04:30:00,7.0,8.0,9.0,,6.0,,8
4343,2020-04-06 04:30:00,6.0,1.0,9.0,,1.0,,8
5162,2020-04-06 04:35:00,8.0,0.0,8.0,,9.0,,8
4880,2020-04-06 04:45:00,10.0,9.0,5.0,,5.0,1.0,8
5370,2020-04-06 04:55:00,8.0,8.0,0.0,,8.0,,8
4521,2020-04-06 05:15:00,4.0,0.0,0.0,,0.0,1.0,8
4648,2020-04-06 05:20:00,8.0,8.0,2.0,,0.0,,8
4499,2020-04-06 05:20:00,6.0,3.0,4.0,,4.0,,8
4713,2020-04-06 05:20:00,2.0,1.0,2.0,,3.0,,8
4385,2020-04-06 05:35:00,1.0,6.0,9.0,,6.0,,8
5159,2020-04-06 05:45:00,10.0,4.0,8.0,,1.0,1.0,8
4725,2020-04-06 05:50:00,1.0,5.0,10.0,,8.0,,8
4365,2020-04-06 06:00:00,0.0,9.0,4.0,,9.0,,8
