,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
7789,2020-04-06 00:05:00,10.0,4.0,1.0,,1.0,,14
7880,2020-04-06 00:50:00,4.0,2.0,10.0,,3.0,,14
7735,2020-04-06 00:50:00,2.0,3.0,0.0,,9.0,,14
7565,2020-04-06 00:55:00,7.0,8.0,4.0,,1.0,,14
7912,2020-04-06 01:00:00,10.0,5.0,10.0,,7.0,,14
7745,2020-04-06 01:00:00,8.0,7.0,0.0,,0.0,0.0,14
7923,2020-04-06 01:15:00,4.0,10.0,5.0,,10.0,,14
7762,2020-04-06 01:25:00,7.0,10.0,2.0,,1.0,,14
7886,2020-04-06 01:25:00,2.0,5.0,10.0,,4.0,,14
7851,2020-04-06 02:05:00,1.0,5.0,1.0,,0.0,,14
7922,2020-04-06 02:25:00,8.0,10.0,10.0,,2.0,,14
7519,2020-04-06 02:40:00,5.0,5.0,10.0,,4.0,,14
7989,2020-04-06 03:00:00,8.0,8.0,1.0,,5.0,,14
7594,2020-04-06 03:10:00,10.0,3.0,6.0,,2.0,,14
7897,2020-04-06 03:50:00,10.0,0.0,10.0,,1.0,,14
7635,2020-04-06 04:05:00,8.0,4.0,9.0,,10.0,,14
7553,2020-04-06 04:15:00,7.0,1.0,10.0,,1.0,0.0,14
7637,2020-04-06 04:25:00,3.0,8.0,5.0,,10.0,,14
7843,2020-04-06 04:30:00,7.0,10.0,4.0,,5.0,,14
7818,2020-04-06 04:35:00,10.0,1.0,10.0,,2.0,,14
7563,2020-04-06 04:50:00,3.0,7.0,7.0,,10.0,,14
7604,2020-04-06 04:55:00,6.0,7.0,6.0,,7.0,,14
7820,2020-04-06 05:20:00,1.0,4.0,0.0,,6.0,,14
7930,2020-04-06 05:45:00,4.0,8.0,8.0,,7.0,,14
7674,2020-04-06 05:55:00,1.0,2.0,1.0,,9.0,,14
7791,2020-04-06 06:00:00,7.0,1.0,1.0,,6.0,1.0,14
7627,2020-04-06 06:05:00,5.0,8.0,4.0,,8.0,,14
7628,2020-04-06 06:15:00,3.0,3.0,10.0,,3.0,,14
7903,2020-04-06 06:15:00,4.0,7.0,10.0,,10.0,0.0,14
7581,2020-04-06 06:35:00,0.0,8.0,9.0,,10.0,,14
7831,2020-04-06 07:10:00,6.0,7.0,9.0,,0.0,,14
7933,2020-04-06 07:15:00,2.0,10.0,9.0,,0.0,,14
7839,2020-04-06 07:25:00,2.0,7.0,1.0,,6.0,,14
7574,2020-04-06 07:25:00,1.0,2.0,7.0,,7.0,,14
7963,2020-04-06 07:30:00,0.0,9.0,5.0,,10.0,1.0,14
7960,2020-04-06 07:40:00,5.0,2.0,2.0,,3.0,,14
7536,2020-04-06 07:50:00,3.0,9.0,8.0,,2.0,,14
7983,2020-04-06 07:50:00,8.0,2.0,7.0,,1.0,,14
7810,2020-04-06 08:05:00,10.0,10.0,10.0,,8.0,,14
7914,2020-04-06 08:10:00,0.0,7.0,9.0,,2.0,,14
7704,2020-04-06 08:20:00,10.0,2.0,9.0,,4.0,,14
7996,2020-04-06 08:30:00,1.0,1.0,10.0,,0.0,0.0,14
7955,2020-04-06 08:35:00,3.0,0.0,4.0,,5.0,,14
7568,2020-04-06 08:40:00,5.0,0.0,4.0,,4.0,,14
7737,2020-04-06 09:00:00,7.0,0.0,4.0,,10.0,,14
7554,2020-04-06 09:00:00,3.0,1.0,0.0,,6.0,,14
7873,2020-04-06 09:10:00,10.0,10.0,10.0,,10.0,,14
7913,2020-04-06 09:20:00,2.0,10.0,8.0,,9.0,,14
7727,2020-04-06 09:50:00,9.0,10.0,6.0,,6.0,,14
7992,2020-04-06 10:10:00,5.0,7.0,2.0,,1.0,,14
7743,2020-04-06 10:45:00,8.0,10.0,0.0,,8.0,,14
7972,2020-04-06 10:50:00,4.0,3.0,6.0,,3.0,,14
7838,2020-04-06 10:50:00,10.0,2.0,2.0,,4.0,0.0,14
7643,2020-04-06 11:05:00,2.0,8.0,6.0,,9.0,,14
7698,2020-04-06 11:05:00,5.0,0.0,2.0,,3.0,0.0,14
8008,2020-04-06 11:40:00,0.0,8.0,0.0,,8.0,,14
7775,2020-04-06 11:45:00,2.0,2.0,9.0,,6.0,,14
7686,2020-04-06 11:50:00,4.0,10.0,8.0,,10.0,,14
7666,2020-04-06 12:00:00,7.0,10.0,10.0,,4.0,0.0,14
7544,2020-04-06 12:05:00,5.0,1.0,9.0,,7.0,,14
8006,2020-04-06 12:15:00,9.0,8.0,8.0,,3.0,,14
7538,2020-04-06 12:35:00,4.0,0.0,5.0,,10.0,,14
7650,2020-04-06 12:55:00,6.0,8.0,8.0,,2.0,,14
7537,2020-04-06 12:55:00,10.0,8.0,10.0,,0.0,,14
7959,2020-04-06 13:20:00,5.0,6.0,4.0,,3.0,,14
7747,2020-04-06 13:40:00,10.0,1.0,5.0,,10.0,,14
7840,2020-04-06 14:10:00,2.0,10.0,2.0,,0.0,1.0,14
7611,2020-04-06 14:10:00,10.0,1.0,4.0,,5.0,1.0,14
7865,2020-04-06 14:15:00,10.0,5.0,7.0,,1.0,,14
11394,2020-04-06 14:35:00,0.0,0.0,-0.0,,2.0,1.0,14
7939,2020-04-06 14:35:00,2.0,5.0,1.0,,6.0,,14
11382,2020-04-06 14:35:00,0.0,0.0,1.0,,2.0,0.0,14
7736,2020-04-06 14:40:00,10.0,7.0,1.0,,4.0,0.0,14
7907,2020-04-06 14:40:00,9.0,6.0,8.0,,10.0,0.0,14
11400,2020-04-06 14:45:00,0.0,0.0,1.0,,2.0,0.0,14
11399,2020-04-06 14:45:00,0.0,0.0,-0.0,,2.0,0.0,14
11384,2020-04-06 14:50:00,1.0,0.0,-0.0,,3.0,1.0,14
7991,2020-04-06 14:55:00,6.0,10.0,0.0,,7.0,,14
11379,2020-04-06 15:00:00,1.0,1.0,0.0,,2.0,0.0,14
11381,2020-04-06 15:00:00,-0.0,1.0,1.0,,1.0,-0.0,14
7746,2020-04-06 15:00:00,3.0,6.0,3.0,,5.0,,14
11380,2020-04-06 15:00:00,-0.0,-0.0,-0.0,,2.0,1.0,14
7731,2020-04-06 15:10:00,6.0,6.0,10.0,,4.0,0.0,14
11386,2020-04-06 15:15:00,0.0,0.0,0.0,,4.0,-0.0,14
11387,2020-04-06 15:15:00,2.0,1.0,1.0,,2.0,2.0,14
11395,2020-04-06 15:20:00,1.0,0.0,1.0,,2.0,0.0,14
11383,2020-04-06 15:25:00,0.0,-0.0,0.0,,1.0,-0.0,14
7541,2020-04-06 15:25:00,2.0,1.0,6.0,,0.0,,14
7900,2020-04-06 15:25:00,10.0,0.0,3.0,,10.0,,14
7857,2020-04-06 15:35:00,7.0,0.0,9.0,,3.0,,14
