,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
2572,2020-04-06 00:00:00,8.0,1.0,10.0,,3.0,1.0,4
2460,2020-04-06 00:00:00,10.0,2.0,9.0,,10.0,,4
2424,2020-04-06 00:10:00,2.0,2.0,10.0,,10.0,,4
2553,2020-04-06 00:10:00,10.0,8.0,8.0,,5.0,0.0,4
2472,2020-04-06 00:30:00,10.0,3.0,6.0,,3.0,,4
2397,2020-04-06 00:55:00,9.0,0.0,1.0,,5.0,,4
2445,2020-04-06 02:05:00,10.0,8.0,8.0,,0.0,,4
2449,2020-04-06 02:25:00,10.0,10.0,8.0,,10.0,,4
2533,2020-04-06 02:35:00,5.0,8.0,2.0,,10.0,,4
2459,2020-04-06 03:45:00,3.0,1.0,1.0,,2.0,,4
2393,2020-04-06 04:15:00,4.0,1.0,9.0,,9.0,,4
2355,2020-04-06 04:25:00,5.0,4.0,10.0,,3.0,,4
2465,2020-04-06 05:15:00,6.0,5.0,5.0,,4.0,,4
2489,2020-04-06 05:25:00,5.0,9.0,7.0,,1.0,,4
2482,2020-04-06 05:55:00,10.0,8.0,5.0,,5.0,,4
2361,2020-04-06 06:50:00,5.0,5.0,6.0,,3.0,,4
2384,2020-04-06 07:10:00,7.0,0.0,9.0,,2.0,,4
2486,2020-04-06 07:20:00,1.0,6.0,5.0,,8.0,,4
2416,2020-04-06 08:00:00,1.0,6.0,4.0,,8.0,,4
2508,2020-04-06 08:10:00,7.0,2.0,1.0,,4.0,,4
2488,2020-04-06 09:40:00,6.0,9.0,0.0,,7.0,,4
2389,2020-04-06 10:00:00,9.0,10.0,6.0,,10.0,,4
2429,2020-04-06 12:05:00,7.0,2.0,4.0,,6.0,,4
2409,2020-04-06 14:00:00,9.0,8.0,10.0,,10.0,,4
11073,2020-04-06 14:35:00,-0.0,-0.0,0.0,,1.0,2.0,4
11097,2020-04-06 14:35:00,0.0,0.0,1.0,,2.0,2.0,4
11083,2020-04-06 14:35:00,0.0,0.0,-0.0,,2.0,3.0,4
11099,2020-04-06 14:35:00,0.0,0.0,-0.0,,2.0,2.0,4
11088,2020-04-06 14:35:00,-0.0,0.0,0.0,,2.0,1.0,4
11074,2020-04-06 14:35:00,-0.0,-0.0,0.0,,2.0,3.0,4
11077,2020-04-06 14:35:00,0.0,1.0,0.0,,2.0,2.0,4
11096,2020-04-06 14:40:00,0.0,1.0,0.0,,2.0,2.0,4
11082,2020-04-06 14:45:00,0.0,-0.0,0.0,,2.0,1.0,4
11070,2020-04-06 14:50:00,0.0,0.0,1.0,,2.0,2.0,4
11095,2020-04-06 15:00:00,-0.0,-0.0,0.0,,2.0,3.0,4
11098,2020-04-06 15:05:00,0.0,-0.0,-0.0,7.0,1.0,2.0,4
11094,2020-04-06 15:10:00,-0.0,-0.0,0.0,,2.0,1.0,4
11079,2020-04-06 15:25:00,0.0,-0.0,-0.0,,2.0,2.0,4
11091,2020-04-06 15:30:00,-0.0,0.0,-0.0,,2.0,2.0,4
11087,2020-04-06 15:30:00,-0.0,0.0,-0.0,,2.0,2.0,4
11090,2020-04-06 15:35:00,0.0,0.0,-0.0,,2.0,2.0,4
11092,2020-04-06 15:45:00,0.0,0.0,0.0,,1.0,2.0,4
11085,2020-04-06 15:45:00,0.0,-0.0,0.0,,2.0,3.0,4
11068,2020-04-06 15:50:00,0.0,0.0,1.0,,2.0,2.0,4
11076,2020-04-06 15:50:00,1.0,0.0,-0.0,,1.0,1.0,4
11075,2020-04-06 15:55:00,-0.0,1.0,1.0,,2.0,1.0,4
2390,2020-04-06 15:55:00,0.0,0.0,10.0,,2.0,1.0,4
11069,2020-04-06 15:55:00,0.0,-0.0,0.0,,3.0,2.0,4
11089,2020-04-06 16:00:00,1.0,1.0,-0.0,,2.0,1.0,4
11924,2020-04-06 16:05:00,0.0,1.0,1.0,,2.0,,4
11071,2020-04-06 16:05:00,-0.0,-0.0,0.0,,1.0,2.0,4
11964,2020-04-06 16:05:00,-0.0,1.0,0.0,,1.0,,4
11950,2020-04-06 16:10:00,0.0,-0.0,0.0,,1.0,,4
11921,2020-04-06 16:10:00,0.0,0.0,0.0,,2.0,,4
11949,2020-04-06 16:10:00,-0.0,0.0,0.0,,1.0,,4
11923,2020-04-06 16:10:00,1.0,-0.0,-0.0,,2.0,,4
11960,2020-04-06 16:15:00,-0.0,0.0,2.0,,2.0,1.0,4
11929,2020-04-06 16:15:00,0.0,0.0,1.0,,2.0,,4
11959,2020-04-06 16:20:00,1.0,-0.0,-0.0,,2.0,,4
11936,2020-04-06 16:20:00,-0.0,0.0,1.0,,2.0,,4
11922,2020-04-06 16:25:00,1.0,0.0,1.0,0.0,0.0,,4
11946,2020-04-06 16:25:00,-0.0,0.0,0.0,,4.0,1.0,4
11930,2020-04-06 16:25:00,0.0,0.0,1.0,,3.0,,4
11953,2020-04-06 16:25:00,-0.0,1.0,-0.0,,2.0,,4
11081,2020-04-06 16:25:00,0.0,1.0,-0.0,,2.0,3.0,4
11951,2020-04-06 16:30:00,0.0,1.0,0.0,7.0,3.0,,4
11093,2020-04-06 16:30:00,0.0,0.0,0.0,,2.0,3.0,4
11961,2020-04-06 16:30:00,0.0,0.0,-0.0,2.0,2.0,,4
11944,2020-04-06 16:30:00,0.0,1.0,0.0,,1.0,,4
2547,2020-04-06 16:35:00,0.0,3.0,8.0,,1.0,,4
11956,2020-04-06 16:35:00,2.0,0.0,0.0,,2.0,,4
11086,2020-04-06 16:35:00,0.0,0.0,-0.0,,1.0,3.0,4
11933,2020-04-06 16:35:00,0.0,0.0,1.0,,0.0,,4
11957,2020-04-06 16:45:00,1.0,0.0,-0.0,,3.0,,4
11932,2020-04-06 16:45:00,0.0,0.0,-0.0,,4.0,,4
11945,2020-04-06 16:45:00,-0.0,0.0,0.0,,1.0,,4
11080,2020-04-06 16:55:00,0.0,0.0,0.0,,3.0,2.0,4
11925,2020-04-06 17:00:00,1.0,0.0,-0.0,3.0,4.0,,4
11927,2020-04-06 17:05:00,-0.0,0.0,0.0,,2.0,1.0,4
11942,2020-04-06 17:05:00,0.0,0.0,-0.0,,2.0,,4
11943,2020-04-06 17:05:00,0.0,1.0,0.0,,1.0,,4
11934,2020-04-06 17:10:00,0.0,0.0,1.0,,2.0,,4
11084,2020-04-06 17:10:00,-0.0,0.0,1.0,,1.0,2.0,4
11072,2020-04-06 17:10:00,-0.0,0.0,0.0,,3.0,3.0,4
2531,2020-04-06 17:15:00,4.0,6.0,7.0,,10.0,,4
11947,2020-04-06 17:25:00,0.0,-0.0,-0.0,,1.0,1.0,4
11962,2020-04-06 17:30:00,-0.0,-0.0,1.0,,3.0,,4
11067,2020-04-06 17:35:00,-0.0,-0.0,2.0,,0.0,3.0,4
11078,2020-04-06 17:35:00,0.0,0.0,0.0,,2.0,2.0,4
11937,2020-04-06 17:35:00,1.0,-0.0,0.0,,3.0,,4
11940,2020-04-06 17:45:00,-0.0,1.0,0.0,,3.0,,4
2396,2020-04-06 17:50:00,9.0,8.0,6.0,,8.0,,4
2368,2020-04-06 17:55:00,9.0,4.0,7.0,,10.0,,4
11963,2020-04-06 18:00:00,0.0,-0.0,0.0,,2.0,,4
11954,2020-04-06 18:00:00,1.0,-0.0,0.0,,2.0,,4
11955,2020-04-06 18:05:00,0.0,1.0,1.0,,2.0,1.0,4
11935,2020-04-06 18:05:00,-0.0,-0.0,0.0,,2.0,1.0,4
11958,2020-04-06 18:05:00,0.0,1.0,0.0,,2.0,,4
11926,2020-04-06 18:10:00,-0.0,0.0,-0.0,,2.0,,4
11952,2020-04-06 18:15:00,0.0,-0.0,0.0,,3.0,,4
2405,2020-04-06 18:20:00,9.0,3.0,6.0,,4.0,,4
11928,2020-04-06 18:30:00,-0.0,0.0,1.0,,1.0,,4
11941,2020-04-06 18:35:00,0.0,0.0,1.0,,2.0,,4
11939,2020-04-06 18:35:00,-0.0,0.0,1.0,,2.0,1.0,4
11948,2020-04-06 18:40:00,0.0,1.0,1.0,,1.0,,4
11938,2020-04-06 18:40:00,0.0,0.0,0.0,,2.0,,4
2503,2020-04-06 19:00:00,6.0,4.0,9.0,,10.0,,4
2380,2020-04-06 19:05:00,10.0,5.0,6.0,,4.0,,4
2440,2020-04-06 19:10:00,6.0,10.0,2.0,,10.0,,4
11931,2020-04-06 20:05:00,0.0,0.0,0.0,,1.0,,4
2451,2020-04-06 20:25:00,7.0,0.0,8.0,,2.0,,4
2432,2020-04-06 21:25:00,9.0,3.0,8.0,,6.0,,4
2565,2020-04-06 23:30:00,10.0,10.0,4.0,,6.0,0.0,4
2542,2020-04-06 23:45:00,6.0,6.0,9.0,,1.0,,4
2381,2020-04-07 00:15:00,9.0,7.0,0.0,,10.0,0.0,4
2521,2020-04-07 00:30:00,8.0,7.0,3.0,,6.0,1.0,4
2529,2020-04-07 00:40:00,3.0,2.0,0.0,,0.0,,4
2415,2020-04-07 01:05:00,0.0,9.0,9.0,,6.0,,4
2502,2020-04-07 01:30:00,4.0,10.0,2.0,,5.0,,4
2507,2020-04-07 02:30:00,6.0,3.0,4.0,,6.0,,4
2352,2020-04-07 02:35:00,2.0,5.0,9.0,,2.0,,4
2353,2020-04-07 03:25:00,0.0,3.0,10.0,,4.0,,4
2423,2020-04-07 03:40:00,1.0,3.0,1.0,,10.0,,4
2447,2020-04-07 04:05:00,5.0,6.0,9.0,,1.0,,4
2530,2020-04-07 04:25:00,3.0,9.0,1.0,,1.0,,4
2436,2020-04-07 04:40:00,10.0,6.0,0.0,,4.0,,4
2372,2020-04-07 04:45:00,7.0,8.0,3.0,,7.0,,4
2454,2020-04-07 05:25:00,5.0,4.0,2.0,,10.0,,4
2387,2020-04-07 05:30:00,2.0,3.0,7.0,,9.0,0.0,4
2439,2020-04-07 06:25:00,0.0,1.0,10.0,,4.0,,4
2469,2020-04-07 06:45:00,10.0,2.0,2.0,,2.0,,4
2410,2020-04-07 07:20:00,0.0,0.0,2.0,,4.0,,4
2359,2020-04-07 07:45:00,9.0,2.0,1.0,,7.0,,4
2442,2020-04-07 09:40:00,9.0,10.0,10.0,,6.0,,4
2382,2020-04-07 10:25:00,7.0,8.0,7.0,,1.0,,4
2549,2020-04-07 10:45:00,7.0,3.0,10.0,,8.0,,4
2563,2020-04-07 10:45:00,4.0,0.0,0.0,,4.0,0.0,4
2481,2020-04-07 11:35:00,7.0,8.0,9.0,,0.0,1.0,4
2505,2020-04-07 11:50:00,10.0,10.0,7.0,,10.0,,4
2373,2020-04-07 12:05:00,2.0,1.0,7.0,,10.0,,4
2386,2020-04-07 12:30:00,10.0,7.0,3.0,,0.0,,4
